,0.178,0.706,1.068,2.068,3.198,3.943,5.883,7.107,8.011,9.840,10.866,11.903,12.922,13.707,14.550,15.488,16.196,16.900,17.608,18.313,19.012,19.689,20.412,21.055,21.808,22.510,23.209,23.911,24.677,25.310,26.007,26.705,27.468,27.779,28.420,29.000,29.600,30.100,30.551,31.540,32.120,32.743,33.650,34.898,36.073,37.225,42.359,45.230,49.070,51.095,54
0,82.67,75.62,80.98,87.59,80.19,90.98,82.33,97.86,91.88,86.08,74.38,85.3,93.25,86.94,97.94,82.0,76.0,75.0,80.21,84.3,88.78,87.86,88.25,87.55,83.54,80.09,83.6,81.84,83.0,80.0,71.31,64.89,84.0,81.0,87.45,93.48,57.85,90.5,98.76,99.27,95.5,92.6,95.71,86.09,112.0,94.57,101.0,,92.88,95.67,93.0
1,91.95,79.38,52.14,86.18,95.15,98.64,82.83,,98.33,87.54,74.5,79.88,90.54,77.88,74.75,80.94,,,72.6,78.74,75.21,82.5,77.09,75.78,73.7,72.63,81.0,86.9,92.52,89.11,79.23,77.27,88.04,89.84,88.74,82.7,64.85,98.14,,114.75,99.54,101.03,78.5,89.87,92.55,98.41,,54.34,113.0,97.78,101.22
2,91.46,81.4,88.09,86.91,89.77,90.08,90.79,,91.6,81.8,73.87,87.16,95.26,83.48,88.67,76.68,,,75.93,79.12,77.04,84.21,86.71,82.14,85.97,84.23,84.74,87.32,87.86,84.33,81.17,72.92,89.0,89.39,90.32,85.04,57.45,96.31,,92.18,91.58,95.83,84.29,90.31,93.33,92.49,,49.32,105.62,90.24,101.46
3,92.0,82.04,87.86,85.86,85.13,91.24,82.79,,91.3,82.14,75.04,87.12,90.65,83.0,86.89,84.05,,,78.24,77.9,81.74,81.69,84.89,82.97,87.43,84.65,85.58,80.34,89.77,93.95,81.07,72.29,93.85,95.11,93.9,88.66,68.73,91.95,,97.33,96.33,90.57,86.43,82.67,96.77,91.43,,100.06,85.14,89.23,97.33
4,87.79,78.88,83.65,82.54,81.94,80.87,88.0,90.71,89.86,86.02,76.43,90.8,94.15,85.6,95.5,87.84,79.13,83.57,87.3,89.5,84.9,84.53,94.58,89.95,89.07,85.58,91.74,89.81,92.5,87.83,83.38,81.89,89.93,88.24,79.44,81.69,56.91,87.17,92.0,94.62,87.38,96.36,92.15,89.49,94.14,95.67,95.4,105.86,99.83,95.54,105.82
5,86.83,79.97,85.28,84.7,91.38,91.31,85.83,89.67,93.37,86.74,80.05,90.29,88.9,93.76,90.97,91.43,73.46,71.34,84.41,91.13,91.64,89.0,87.87,81.5,79.5,86.94,83.66,86.11,91.9,80.0,74.53,71.69,87.85,93.36,88.55,90.3,59.35,93.57,91.74,91.52,91.25,87.12,79.88,92.46,93.09,105.78,98.76,102.04,92.89,100.75,107.6
6,85.68,84.68,91.74,85.68,88.14,89.56,79.93,87.91,92.94,83.4,86.48,89.86,97.87,88.08,86.37,86.27,72.23,82.12,83.71,83.35,80.0,80.2,86.24,79.5,75.75,77.4,84.17,84.6,86.27,81.58,77.82,75.1,88.65,90.1,87.53,92.23,60.77,88.0,89.23,100.38,96.69,90.64,85.22,91.73,87.64,105.17,101.1,97.19,86.75,101.18,103.33
7,88.73,78.37,85.42,85.08,84.0,82.64,87.08,88.21,89.62,86.11,77.46,86.86,87.63,86.64,84.88,83.94,72.79,78.63,86.25,83.0,83.22,84.6,88.06,85.13,86.76,85.69,87.93,83.05,76.55,78.21,79.76,69.08,88.82,92.36,87.71,85.29,66.43,96.5,96.92,99.32,93.54,95.09,88.38,90.77,103.87,112.2,102.05,99.54,95.64,99.75,85.55
8,87.06,82.54,84.56,92.7,90.18,89.69,93.23,83.89,89.43,83.37,81.76,89.19,95.3,84.91,84.33,90.62,79.09,83.0,83.22,86.58,86.0,84.08,83.03,82.0,86.67,83.4,85.83,91.33,89.62,90.81,83.0,78.19,89.57,90.14,95.22,96.0,63.67,90.55,90.5,88.1,91.81,96.16,88.43,90.16,91.24,90.31,98.62,91.0,95.76,91.83,96.93
